51	0	889
18	4	381
113	0	60
18	4	597
712	1	20
4	3	150
627	1	646
459	1	794
583	2	531
804	2	650
474	1	722
808	2	768
88	0	89
60	1	278
305	1	275
607	2	878
348	1	385
659	2	430
261	2	785
703	3	459
490	1	521
386	3	110
90	3	77
582	2	107
865	2	312
199	3	392
41	0	96
449	0	57
853	4	6
919	2	442
90	4	555
263	2	106
692	2	25
648	0	84
4	1	543
921	1	451
136	0	241
445	1	554
434	2	472
828	2	340
4	0	814
60	1	376
900	2	186
194	2	87
736	2	420
60	0	789
410	0	411
114	1	430
27	0	515
395	1	229
321	3	236
578	4	574
339	2	540
659	1	755
81	1	80
303	4	115
497	2	133
637	4	4
56	2	556
90	4	559
461	2	37
468	4	888
459	2	481
650	2	496
745	3	58
609	2	904
828	2	320
577	1	344
810	2	794
107	0	788
160	2	529
18	0	545
54	2	419
282	4	279
64	2	396
553	2	27
339	2	483
381	1	307
8	4	640
185	2	840
95	4	22
759	2	115
102	2	641
107	4	889
340	4	505
659	2	149
711	2	79
180	4	26
277	0	509
591	2	266
93	0	8
51	0	540
18	4	149
742	2	693
836	2	724
343	1	728
597	1	472
243	1	784
888	0	889
466	1	420
305	1	843
558	4	8
28	2	168
6	3	7
255	2	597
516	2	878
555	3	107
268	0	4
268	0	6
391	0	387
50	1	810
899	2	579
627	2	11
21	1	850
878	2	452
288	2	689
257	4	889
425	0	6
353	3	58
246	0	245
62	1	25
124	2	328
55	2	573
29	4	393
750	2	395
110	1	41
611	2	589
627	2	701
77	4	468
716	1	458
597	2	120
243	3	58
692	2	255
58	3	527
18	0	40
924	2	539
475	2	121
478	2	720
857	0	927
337	2	754
78	1	853
935	4	8
333	0	334
62	1	689
41	3	459
98	2	616
119	0	24
111	2	642
428	4	62
440	2	474
476	1	519
257	4	470
397	2	412
37	0	256
523	2	161
60	1	203
5	2	731
467	1	83
354	3	644
451	1	570
349	4	347
136	4	57
842	2	440
207	2	200
423	2	589
44	0	159
268	4	60
889	4	58
58	0	266
135	1	845
796	2	841
325	1	618
399	2	601
26	4	650
740	2	500
731	2	236
801	2	733
708	2	360
110	4	724
738	2	608
514	3	60
354	0	393
58	0	617
495	0	115
635	2	358
872	4	203
789	2	877
340	0	315
534	2	183
384	2	742
459	0	8
235	1	641
353	2	653
37	2	102
885	0	887
611	2	521
58	1	908
712	4	60
814	2	731
110	4	357
353	0	203
57	2	841
731	1	930
646	2	707
381	1	436
262	2	483
301	1	829
395	3	354
441	2	910
115	1	655
353	1	4
555	4	833
637	2	401
90	4	842
559	1	747
503	1	424
25	1	640
628	2	475
120	4	315
110	1	753
558	1	57
445	0	23
445	4	25
914	2	621
500	2	565
31	0	27
893	1	435
119	1	578
751	4	302
10	2	111
413	1	574
481	1	695
577	0	62
425	4	426
349	1	477
327	1	638
241	2	426
354	1	719
746	0	60
576	1	641
357	3	136
508	0	509
102	4	181
498	1	417
626	2	14
917	2	938
199	0	371
221	2	691
18	1	426
4	1	113
6	4	290
717	2	838
121	0	756
841	1	467
598	1	120
4	1	274
716	3	4
592	1	585
51	4	595
468	4	79
274	2	634
428	1	486
503	2	474
476	0	468
784	1	268
290	0	301
8	1	20
8	3	114
461	2	725
921	2	789
18	0	62
57	0	54
8	4	102
576	4	79
546	2	835
566	2	714
411	2	863
50	2	556
85	0	160
6	1	282
293	4	22
366	0	371
899	2	353
18	4	277
159	1	396
765	1	113
601	2	829
594	1	364
359	2	782
6	1	626
90	0	474
354	0	293
204	3	31
763	4	8
364	2	246
445	4	26
684	2	409
810	2	386
277	0	95
671	2	496
90	0	79
727	2	535
79	2	163
742	2	432
814	2	429
4	0	664
18	4	23
204	3	90
51	4	199
602	4	465
747	2	938
659	2	163
389	4	199
566	0	569
287	2	253
346	4	93
136	4	79
209	2	869
115	1	538
348	3	41
474	0	18
585	2	265
84	4	22
783	1	116
22	1	409
27	3	31
64	2	884
146	0	145
359	2	943
444	0	4
881	3	58
353	2	608
272	2	612
235	0	600
138	1	246
814	0	885
106	2	690
348	4	488
357	2	627
79	0	571
657	2	937
24	2	161
209	2	200
497	2	413
572	2	248
38	0	413
468	4	940
887	4	886
257	2	477
18	4	486
84	3	547
330	1	456
417	2	79
882	2	257
838	2	235
738	2	646
90	4	558
17	2	835
211	4	767
862	2	67
348	4	302
787	2	859
530	0	531
149	2	691
635	2	184
330	0	123
211	4	269
335	2	191
573	2	757
465	2	224
22	1	124
845	2	113
605	2	133
87	1	557
17	2	535
280	1	4
532	4	555
431	2	902
59	0	51
325	1	34
120	2	597
845	2	519
703	4	130
90	4	712
745	1	839
8	1	559
199	1	200
805	2	329
598	2	824
11	2	897
115	3	340
740	2	198
47	2	754
130	1	151
115	1	102
600	4	428
8	1	362
476	4	107
110	1	61
18	1	473
634	1	635
84	0	633
468	0	821
295	2	528
513	2	76
598	2	213
110	0	597
283	1	842
606	0	18
559	4	269
90	1	121
448	1	692
429	4	114
493	2	762
541	4	247
313	1	495
935	2	165
115	4	821
473	4	554
255	0	180
467	4	114
60	0	135
716	4	60
221	2	828
120	2	497
474	2	711
892	2	243
62	1	354
579	0	293
95	4	55
62	3	61
810	2	766
653	2	814
339	2	768
573	3	79
690	2	730
690	0	694
885	0	784
159	4	62
428	1	435
89	1	856
693	2	742
646	2	252
597	2	556
5	4	308
527	4	58
6	1	440
67	2	228
110	0	135
84	2	488
250	4	51
705	2	704
723	4	841
684	2	269
303	2	624
851	2	497
647	1	375
391	0	27
